,All Rewards
850,-52.850018935139346
851,239.75294107604995
852,244.94796477187748
853,152.1981077449874
854,223.1092283773067
855,90.37837990689809
856,126.56174944840431
857,238.10018754350298
858,269.0843332925082
859,239.43639115812084
860,238.95941661696844
861,243.9767428375055
862,270.6251708807304
863,153.95570146388684
864,222.6028330325087
865,51.372950512124014
866,156.80205058029946
867,209.2339865257988
868,245.79514072260832
869,217.44296534525665
870,257.80755385640816
871,196.53278532522296
872,-51.330114853744874
873,154.71609425572385
874,199.08274660961564
875,243.89291100006034
876,263.38058007626137
877,215.62820299087485
878,-32.92585765941509
879,142.16889205650403
880,-50.58359261794067
881,238.2084117886531
882,225.66833107394575
883,223.1585497160272
884,232.02338283570188
885,255.07007914641238
886,247.41931116845288
887,242.64025110162694
888,61.99487245042319
889,124.75437228562483
890,105.45313142415219
891,173.03088558484723
892,175.46039954393459
893,243.87667252155765
894,241.02476169869658
895,222.9583367214925
896,216.68206907238465
897,106.92526291782525
898,269.23372924220814
899,285.3051632365235
900,-47.32063998057558
901,216.58519083822404
902,251.87019419541116
903,219.4915937439814
904,116.30723410241478
905,269.6463683536831
906,264.207864174358
907,243.2012689084923
908,-2.552797550818866
909,223.95857727686945
910,177.53799029293984
911,174.50975601996885
912,235.88561439115097
913,193.89746401592055
914,236.23512577031318
915,229.660060122375
916,204.38701894271537
917,-9.426305945596255
918,217.30675134737274
919,235.65890457613335
920,-42.07176609432237
921,242.30149008348124
922,197.13581365424358
923,207.06048533203216
924,235.65410040716705
925,231.8419792675502
926,203.04949623955184
927,-33.85342163196739
928,233.09544919408756
929,257.25607313218086
930,-23.74569918926113
931,224.1092111116567
932,233.52037049687428
933,230.40674503002498
934,231.42685465073825
935,240.48885937371935
936,240.26052714804183
937,246.66468400363192
938,203.4646584560441
939,240.36658686796574
940,162.9103624176933
941,-4.053952735939319
942,242.7937495648168
943,234.02204900665112
944,20.364241904805652
945,233.44828952354484
946,275.7191559221674
947,240.70950274268466
948,225.4068085550612
949,214.713910634292
950,166.44611844408067
951,191.75057103850054
952,240.36684052879443
953,209.25593751351641
954,233.78034691506315
955,229.20455074789712
956,243.67765521513036
957,227.5209828720718
958,266.42140230061295
959,235.39562512645435
960,241.70927520217867
961,240.72369147238047
962,216.8524615631652
963,262.421187889722
964,252.0247640578647
965,-38.10380856927301
966,180.19013302915374
967,214.98957791550146
968,227.23002549581525
969,238.91424493101374
970,238.39907851179095
971,180.68095113523634
972,217.2702304178618
973,-12.929512839298965
974,248.68690707011515
975,251.58934568699414
976,237.25851757100747
977,241.83097879449247
978,211.7081459298036
979,20.34392727699263
980,241.14241119698568
981,244.40003332474822
982,231.39636333577138
983,251.48364109542888
984,223.61114765273527
985,-37.77712499821831
986,243.89529063058262
987,210.4856036971488
988,-45.08730476582462
989,222.8135199341868
990,234.82914218826573
991,-10.131011532593064
992,223.8332357672667
993,226.30701373015378
994,238.5708577231379
995,-46.74732459979376
996,136.08301550802048
997,248.4127395505302
998,252.13744941060284
999,231.21699901930344
1000,109.2570430477698
1001,258.7864247858671
1002,211.67530702827455
1003,208.10396129372603
1004,-17.539692718044563
1005,242.44508726705217
1006,226.28478467561206
1007,230.51975404248478
1008,207.9924947917572
1009,245.6353285262447
1010,-43.85651699309773
1011,162.6153987378717
1012,244.86211688876185
1013,-45.733809605718264
1014,206.61964379700868
1015,233.2547081205683
1016,225.26686824256458
1017,249.78763266731463
1018,209.47847429127557
1019,-42.547581735440176
1020,176.64927254471928
1021,196.10530147080087
1022,228.33724828625805
1023,230.97436646094454
1024,263.37077848245764
1025,222.26820951389513
1026,221.64793808153107
1027,249.09815240264786
1028,280.8432193265121
1029,295.3264268235148
1030,243.27984191008815
1031,261.7887447676393
1032,267.1178298406129
1033,228.42282329267
1034,-13.64142546791524
1035,253.18810290458435
1036,247.12581387195212
1037,-48.02883391564019
1038,240.9527499017108
1039,232.83260914115033
1040,200.92655737909035
1041,-14.938008154891747
1042,226.16349534516647
1043,-20.492562798084847
1044,271.56394205130533
1045,184.36274230604292
1046,-27.711542718579835
1047,-48.565431639366835
1048,213.15580374969102
1049,257.57267972802117
1050,264.42831846891715
1051,-4.413242440992718
1052,41.91558843974255
1053,220.24948316343588
1054,223.50531260981606
1055,238.00222439553747
1056,236.2461101171936
1057,261.57051720032416
1058,231.97452320088522
1059,212.18205860433665
1060,187.69054806408502
1061,-78.18363016648276
1062,240.58403638195017
1063,260.38750059434926
1064,244.45755959862294
1065,245.07764820996874
1066,156.04907600415444
1067,255.17688331655935
1068,222.46092821996552
1069,249.11259600086615
1070,240.79901480634413
1071,-11.453901250908359
1072,204.2773558615523
1073,-96.66257089717818
1074,-14.27375818129778
1075,29.22097942814321
1076,269.72084336935825
1077,194.46032646126753
1078,0.23841797327375502
1079,-42.821229504464426
1080,292.97992638466303
1081,263.3191923126451
1082,8.706835140895421
1083,22.403416130676646
1084,-4.51309447407894
1085,22.72584542907532
1086,273.67406203178007
1087,224.94262672915883
1088,259.30966362287666
1089,19.303639542089186
1090,-27.672290977648075
1091,226.08824770690205
1092,249.96581364872756
1093,235.65026344874923
1094,-94.08997933772164
1095,-12.282223242903996
1096,249.54412108373685
1097,-74.73477820805438
1098,182.49832944894325
1099,-148.70701252315484
1100,-13.911900792121799
1101,216.52696735446327
1102,-36.793089607776864
1103,177.5454801419705
1104,176.4998186205758
1105,262.70601094382425
1106,231.59195136066933
1107,-21.70698672867786
1108,231.8984379447149
1109,-43.77825613077508
1110,254.20335275189123
1111,267.0496463794394
1112,-1.9912652360834784
1113,-123.753293704914
1114,226.81393808431588
1115,-7.635351649024813
1116,-55.70592160721141
1117,25.54055901337395
1118,242.91401205399768
1119,235.92838302274325
1120,235.49401591033234
1121,255.7578135023924
1122,227.89254888631055
1123,246.2594672330305
1124,12.5145992329889
1125,3.9002757504159575
1126,227.0600191856598
1127,278.69824657711524
1128,279.65751263229185
1129,231.10726905963313
1130,-60.39006558972892
1131,-145.13314752332286
1132,198.44215893149328
1133,202.95001117177716
1134,210.29653375421884
1135,231.0462444684374
1136,261.59093188489476
1137,207.16267627765222
1138,-67.21110761741457
1139,219.0685457558311
1140,212.22929454085454
1141,253.7476890080694
1142,257.2988011975457
1143,43.39938535795096
1144,-32.597208223407634
1145,-6.641568067013381
1146,45.83905165704536
1147,-31.46035046580056
1148,20.22504860114519
1149,267.9571603756637
1150,250.79644965525
1151,264.7507806714022
1152,200.53993169798724
1153,-50.54389033794571
1154,236.18557647248434
1155,253.52820205081596
1156,24.948050900242905
1157,-126.65524224090478
1158,269.7570668037383
1159,241.78484363685982
1160,238.74136434778777
1161,-23.09651268544208
1162,272.92730289956677
1163,230.130103720718
1164,241.6327462361476
1165,246.62430203705134
1166,238.69982246549677
1167,222.63671676760785
1168,-94.87474241254688
1169,-99.74314279388265
1170,242.06302788892992
1171,-26.841497506707626
1172,-168.44801686550085
1173,224.61955913426326
1174,230.7261124975573
1175,225.13030392737795
1176,273.7909516027975
1177,245.937160891207
1178,253.4401364211168
1179,-9.355004676824933
1180,245.73133484733364
1181,263.38842214679255
1182,278.1676718896124
1183,21.559719659668914
1184,45.33383266270687
1185,274.65231686132734
1186,284.1176408347908
1187,28.13690487329643
1188,35.51928849474152
1189,3.853697058966503
1190,264.38022383044336
1191,268.52308988197365
1192,54.19942194866263
1193,46.49233181179898
1194,-31.162382652301233
1195,73.88319365580202
1196,271.1963652977055
1197,262.25628624284354
1198,275.91783836854216
1199,275.97269506136547
1200,290.1909576268312
1201,-77.70610142652174
1202,260.27887486428756
1203,236.68225940526668
1204,69.4902471379961
1205,0.9625996585246241
1206,300.2619327680351
1207,272.73805288093513
1208,251.5658030361594
1209,-85.66276344834458
1210,262.8053536102881
1211,223.99644416192967
1212,262.4049079174154
1213,256.7882692594501
1214,243.1339829193887
1215,11.780448288501304
1216,262.6190681862527
1217,-38.38206864964367
1218,-8.66069800068405
1219,40.554171651141075
1220,-0.05318442039903459
1221,232.65992645717344
1222,278.8067352334491
1223,-4.87336267492789
1224,287.01957941338844
1225,220.72837150059942
1226,-1.6871368264501
1227,258.8513288585325
1228,190.60389843119486
1229,214.47263021464016
1230,241.66117015258158
1231,241.9771554737418
1232,16.301222968132592
1233,-19.17872358682162
1234,275.8586849542753
1235,-148.06844975578267
1236,255.35185648264877
1237,-215.9369524060323
1238,222.98325082054976
1239,-11.552485339919428
1240,260.8931657539059
1241,53.167353259322255
1242,-29.245973520826297
1243,5.94455353559168
1244,211.50760391033194
1245,-200.15018554448105
1246,30.168276031614482
1247,256.57164161649547
1248,292.0332133062957
1249,-589.3200985799047
1250,-11.579515947823623
1251,6.63761155577825
1252,11.170138059144037
1253,13.422577985267168
1254,-223.58372569115795
1255,27.240330568252716
1256,23.74865194461809
1257,262.09244038261306
1258,233.22060395492417
1259,23.002949523931264
1260,26.8037862215305
1261,33.19334567357825
1262,28.345137037660606
1263,203.41674434817446
1264,24.91563621252726
1265,12.870494727649472
1266,8.722868785609506
1267,-1.4025880635375643
1268,282.1037390545823
1269,53.5342412586715
1270,-43.976072550109436
1271,-95.81853672705083
1272,-21.597616981759586
1273,243.33417038150995
1274,-37.56103517143639
1275,-56.089226589772764
1276,34.53384883953086
1277,-9.134387456814224
1278,198.38165576507845
1279,-108.10662505847894
1280,170.3495652609615
1281,-24.113485802918248
1282,-59.49192030523791
1283,192.30310405231845
1284,-16.92029398154922
1285,208.98314749102562
1286,-27.194957682731612
1287,-26.489675441346733
1288,-15.164362667401846
1289,195.28553330789182
1290,3.804652419486544
1291,30.166865340355514
1292,190.73948029617853
1293,1.5789133551868133
1294,189.77050588131567
1295,236.0107699772319
1296,58.82072685903796
1297,-40.09943080314555
1298,-23.76830291847986
1299,8.627482695687192
1300,-33.93480780620749
1301,-4.7952489673043885
1302,226.32819069645268
1303,-82.05882065442229
1304,31.35259225102118
1305,13.393408740546846
1306,-51.20334969942057
1307,276.67979030224024
1308,-16.294486688287762
1309,40.831907857876445
1310,-36.08809845266673
1311,303.6543444585059
1312,3.9556874667704705
1313,-45.73374840327166
1314,-41.84594570578675
1315,219.1116578407404
1316,12.076227271166601
1317,-18.052332895939713
1318,-7.582730282668166
