,Mean Rewards
1258,41.10212696004105
1259,38.661636772153685
1260,40.92903504314951
1261,41.144715558008826
1262,41.37300055283465
1263,41.33676165541897
1264,39.67779297741074
1265,39.83332789911912
1266,39.868130832054035
1267,39.71796547133677
1268,39.924704836689244
1269,37.03858929594344
1270,36.001426726764315
1271,36.90964841130935
1272,38.0610855549385
1273,38.616771837300064
1274,38.54917768606146
1275,39.10130463185086
1276,39.62363379301721
1277,38.749132575931164
1278,38.92674543652121
1279,32.58738249644297
1280,35.004864847224006
1281,32.83706740991482
1282,33.01508004956166
1283,34.04812985584941
1284,34.08304844162872
1285,33.98309406313189
1286,31.99967352876709
1287,31.830108272134268
1288,32.34952008859298
1289,28.187462958434658
1290,26.390802427898407
1291,21.174402615943958
1292,12.574692333077133
1293,10.541471242442963
1294,3.52235652013568
1295,-6.942457168405213
1296,-6.718549579811572
1297,-6.946237083030369
1298,-18.225425607160382
1299,-17.826327061312927
1300,-18.038494369862782
1301,-14.587356788565572
1302,-14.424142106834156
1303,-16.323693276376474
1304,-15.301092753080322
1305,-15.446947089485107
1306,-27.316960268626755
1307,-34.38450806260647
1308,-40.89917575312186
1309,-49.18259640956786
1310,-54.34024418629666
1311,-61.35947696931203
1312,-67.06131893340874
1313,-73.28696786153006
1314,-80.26075206634873
1315,-79.6360974555552
1316,-83.98945214401006
1317,-84.07553964916379
1318,-83.86779140274601
1319,-83.55305730330656
1320,-83.344928372804
1321,-82.48009203793396
1322,-82.00829663107979
1323,-86.99512565766464
1324,-86.91603463863639
1325,-87.19041668574299
1326,-86.86445817445521
1327,-87.34238408245001
1328,-87.29551717932276
1329,-87.82940109760101
1330,-88.27143425624223
1331,-88.82407167527992
1332,-89.62334377527874
1333,-90.14967457371631
1334,-90.04330563514377
1335,-91.08424789179332
1336,-90.96477058850182
1337,-90.58238855357723
1338,-89.43918304087666
1339,-89.63587928661883
1340,-88.83091015417658
1341,-88.85012393966107
1342,-89.93959711324463
